name,member_count,following_count,club_type,date
"Cycling Vlaanderen",9165,8,"casual_club","20221203-153645"
"Cycling Vlaanderen",9165,8,"casual_club","20221203-153834"
"Cycling Vlaanderen",9165,8,"casual_club","20221203-154437"
"Cycling Vlaanderen",9165,8,"casual_club","20221203-154832"
"Cycling Vlaanderen",9165,8,"casual_club","20221204-092731"
"Cycling Vlaanderen",9165,8,"casual_club","20221204-150701"
"Cycling Vlaanderen",9165,8,"casual_club","20221206-020750"
"Cycling Vlaanderen",9165,8,"casual_club","20221206-024200"
"Cycling Vlaanderen",9165,8,"casual_club","20221206-024441"
"Cycling Vlaanderen",9165,8,"casual_club","20221206-024553"
"Cycling Vlaanderen",9165,8,"casual_club","20221206-142836"
"Cycling Vlaanderen",9166,8,"casual_club","20221207-133113"
"Cycling Vlaanderen",9167,8,"casual_club","20221208-154036"
"Cycling Vlaanderen",9168,8,"casual_club","20221209-042927"
"Cycling Vlaanderen",9168,8,"casual_club","20221209-050233"
"Cycling Vlaanderen",9175,8,"casual_club","20221210-052302"
"Cycling Vlaanderen",9175,8,"casual_club","20221210-082915"
"Cycling Vlaanderen",9175,8,"casual_club","20221210-085001"
"Cycling Vlaanderen",9175,8,"casual_club","20221211-053311"
"Cycling Vlaanderen",9175,8,"casual_club","20221211-175952"
