name,member_count,following_count,club_type,date
"Wahoo Fitness Japan",8479,0,"casual_club","20221203-153645"
"Wahoo Fitness Japan",8479,0,"casual_club","20221203-153834"
"Wahoo Fitness Japan",8479,0,"casual_club","20221203-154437"
"Wahoo Fitness Japan",8479,0,"casual_club","20221203-154832"
"Wahoo Fitness Japan",8479,0,"casual_club","20221204-092731"
"Wahoo Fitness Japan",8479,0,"casual_club","20221204-150701"
"Wahoo Fitness Japan",8480,0,"casual_club","20221206-020750"
"Wahoo Fitness Japan",8480,0,"casual_club","20221206-024200"
"Wahoo Fitness Japan",8480,0,"casual_club","20221206-024441"
"Wahoo Fitness Japan",8480,0,"casual_club","20221206-024553"
"Wahoo Fitness Japan",8480,0,"casual_club","20221206-142836"
"Wahoo Fitness Japan",8478,0,"casual_club","20221207-133113"
"Wahoo Fitness Japan",8484,0,"casual_club","20221208-154036"
"Wahoo Fitness Japan",8485,0,"casual_club","20221209-042927"
"Wahoo Fitness Japan",8485,0,"casual_club","20221209-050233"
"Wahoo Fitness Japan",8485,0,"casual_club","20221210-052302"
"Wahoo Fitness Japan",8485,0,"casual_club","20221210-082915"
"Wahoo Fitness Japan",8485,0,"casual_club","20221210-085001"
"Wahoo Fitness Japan",8485,0,"casual_club","20221211-053311"
"Wahoo Fitness Japan",8487,0,"casual_club","20221211-175952"
