name,member_count,following_count,club_type,date
"Wahoo Fitness",36335,0,"company","20221203-153645"
"Wahoo Fitness",36335,0,"company","20221203-153834"
"Wahoo Fitness",36335,0,"company","20221203-154437"
"Wahoo Fitness",36335,0,"company","20221203-154832"
"Wahoo Fitness",36336,0,"company","20221204-092731"
"Wahoo Fitness",36338,0,"company","20221204-150701"
"Wahoo Fitness",36384,0,"company","20221206-020750"
"Wahoo Fitness",36385,0,"company","20221206-024200"
"Wahoo Fitness",36385,0,"company","20221206-024441"
"Wahoo Fitness",36385,0,"company","20221206-024553"
"Wahoo Fitness",36398,0,"company","20221206-142836"
"Wahoo Fitness",36404,0,"company","20221207-133113"
"Wahoo Fitness",36404,0,"company","20221208-154036"
"Wahoo Fitness",36404,0,"company","20221209-042927"
"Wahoo Fitness",36404,0,"company","20221209-050233"
"Wahoo Fitness",36410,0,"company","20221210-052302"
"Wahoo Fitness",36409,0,"company","20221210-082915"
"Wahoo Fitness",36409,0,"company","20221210-085001"
"Wahoo Fitness",36410,0,"company","20221211-053311"
"Wahoo Fitness",36410,0,"company","20221211-175952"
